Date,Day,Open,High,Low,Close,Adj Open,Adj High,Adj Close
2/16/05,Wed,0.00,0.00,0.00,0.00,6.61,6.64,6.64
2/17/05,Thurs,0.00,0.00,0.00,0.00,6.64,6.58,6.58
2/18/05,Fri,0.00,0.00,0.00,0.00,6.58,6.57,6.57
2/22/05,Tues,0.00,0.00,0.00,0.00,6.57,6.32,6.32
2/23/05,Wed,0.00,0.00,0.00,0.00,6.32,6.35,6.35
2/24/05,Thurs,0.00,0.00,0.00,0.00,6.35,6.44,6.44
2/25/05,Fri,0.00,0.00,0.00,0.00,6.44,6.55,6.55
2/28/05,Mon,0.00,0.00,0.00,0.00,6.55,6.42,6.42
3/1/05,Tues,0.00,0.00,0.00,0.00,6.42,6.45,6.45
3/2/05,Wed,0.00,0.00,0.00,0.00,6.45,6.33,6.33
3/3/05,Thurs,0.00,0.00,0.00,0.00,6.33,6.18,6.18
3/4/05,Fri,0.00,0.00,0.00,0.00,6.18,6.39,6.39
3/7/05,Mon,0.00,0.00,0.00,0.00,6.39,6.41,6.41
3/8/05,Tues,0.00,0.00,0.00,0.00,6.41,6.31,6.31
3/9/05,Wed,0.00,0.00,0.00,0.00,6.31,6.20,6.20
3/10/05,Thurs,0.00,0.00,0.00,0.00,6.20,6.22,6.22
3/11/05,Fri,0.00,0.00,0.00,0.00,6.22,6.18,6.18
3/14/05,Mon,0.00,0.00,0.00,0.00,6.18,6.18,6.18
3/15/05,Tues,0.00,0.00,0.00,0.00,6.18,6.03,6.03
3/16/05,Wed,0.00,0.00,0.00,0.00,6.03,5.93,5.93
3/17/05,Thurs,0.00,0.00,0.00,0.00,5.93,5.96,5.96
3/18/05,Fri,0.00,0.00,0.00,0.00,5.96,5.99,5.99
3/21/05,Mon,0.00,0.00,0.00,0.00,5.99,5.87,5.87
3/22/05,Tues,0.00,0.00,0.00,0.00,5.87,5.68,5.68
3/23/05,Wed,0.00,0.00,0.00,0.00,5.68,5.70,5.70
3/24/05,Thurs,0.00,0.00,0.00,0.00,5.70,5.84,5.84
3/28/05,Mon,0.00,0.00,0.00,0.00,5.84,5.76,5.76
3/29/05,Tues,0.00,0.00,0.00,0.00,5.76,5.53,5.53
3/30/05,Wed,0.00,0.00,0.00,0.00,5.53,5.75,5.75
3/31/05,Thurs,0.00,0.00,0.00,0.00,5.75,5.71,5.71
4/1/05,Fri,0.00,0.00,0.00,0.00,5.71,5.63,5.63
4/4/05,Mon,0.00,0.00,0.00,0.00,5.63,5.57,5.57
4/5/05,Tues,0.00,0.00,0.00,0.00,5.57,5.64,5.64
4/6/05,Wed,0.00,0.00,0.00,0.00,5.64,5.85,5.85
4/7/05,Thurs,0.00,0.00,0.00,0.00,5.85,6.01,6.01
4/8/05,Fri,0.00,0.00,0.00,0.00,6.01,5.99,5.99
4/11/05,Mon,0.00,0.00,0.00,0.00,5.99,6.07,6.07
4/12/05,Tues,0.00,0.00,0.00,0.00,6.07,6.24,6.24
4/13/05,Wed,0.00,0.00,0.00,0.00,6.24,5.92,5.92
4/14/05,Thurs,0.00,0.00,0.00,0.00,5.92,5.57,5.57
4/15/05,Fri,0.00,0.00,0.00,0.00,5.57,5.25,5.25
4/18/05,Mon,0.00,0.00,0.00,0.00,5.25,5.27,5.27
4/19/05,Tues,0.00,0.00,0.00,0.00,5.27,5.48,5.48
4/20/05,Wed,0.00,0.00,0.00,0.00,5.48,5.33,5.33
4/21/05,Thurs,0.00,0.00,0.00,0.00,5.33,5.62,5.62
4/22/05,Fri,0.00,0.00,0.00,0.00,5.62,5.45,5.45
4/25/05,Mon,0.00,0.00,0.00,0.00,5.45,5.65,5.65
4/26/05,Tues,0.00,0.00,0.00,0.00,5.65,5.54,5.54
4/27/05,Wed,0.00,0.00,0.00,0.00,5.54,5.54,5.54
4/28/05,Thurs,0.00,0.00,0.00,0.00,5.54,5.26,5.26
4/29/05,Fri,0.00,0.00,0.00,0.00,5.26,5.30,5.30
5/2/05,Mon,0.00,0.00,0.00,0.00,5.30,5.46,5.46
5/3/05,Tues,0.00,0.00,0.00,0.00,5.46,5.51,5.51
5/4/05,Wed,0.00,0.00,0.00,0.00,5.51,5.73,5.73
5/5/05,Thurs,0.00,0.00,0.00,0.00,5.73,5.80,5.80
5/6/05,Fri,0.00,0.00,0.00,0.00,5.80,5.77,5.77
5/9/05,Mon,0.00,0.00,0.00,0.00,5.77,5.85,5.85
5/10/05,Tues,0.00,0.00,0.00,0.00,5.85,5.64,5.64
